cfg,label,reason,traceback
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2022\02. februari\19022022 - kracak-kedungbadak#1 BINATANG\Kopel Kracak\Kopel Kracak\DR\Sunday 25 September 2011 21.14.53.000.CFG,HEWAN,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2023\2023-02-24 GI 150 kV CIBINONG BAY GANDARIA 2 PETIR\137_2422023154952898_FRA00137.CFG,PETIR,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),"record.time[-1] - record.time[0]) * 1000.0) if getattr(record, ""time"", None) else None
                                                                               ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^
ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
"
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2023\2023-05-04 SUTT 150 kV BUNAR BARU - RANGKAS 1,2 PETIR\Rangkas 1\AA1E1Q05FN1_DR96_20230503192327.cfg",PETIR,protection=UNKNOWN,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2023\2023-05-04 SUTT 150 kV BUNAR BARU - RANGKAS 1,2 PETIR\Rangkas 2\AA1E1Q04FN1_DR135_20230503192327.cfg",PETIR,protection=UNKNOWN,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\02. FEBRUARI\20250202_GITET CIBINONG BAY DIAMETER 7A4 DAN 7AB4_PETIR\250201,195332798,+7h0,GITET CIBINONG,SGLNG 1-IBT 1,Qualitrol LLC.cfg",PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\02. FEBRUARI\20250207_GI LEMBURSITU BAY TRF#4_BINATANG ULAR\Thursday 06 February 2025 19.50.55.000.CFG,HEWAN,protection=TRANSFORMER_DIFF,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\03. MARET\DFR eksternal GIS PRATU BAY SEMEN JAWA#1 010325 PETIR\250301,093921971,+7h0,SEMEN JAWA,PRATU 1 - PRATU 2,Qualitrol LLC.cfg",PETIR,protection=UNKNOWN,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\03. MARET\DFR ekternal GIS PRATU BAY BAYAH#1 090325 PETIR\250309,094024430,+7h0,GIS PELABUHAN RATU,BAYAH 1-2,Qualitrol LLC.cfg",PETIR,protection=UNKNOWN,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\03. MARET\DFR ekternal GIS PRATU BAY BAYAH#2 090325 PETIR\250309,094024430,+7h0,GIS PELABUHAN RATU,BAYAH 1-2,Qualitrol LLC.cfg",PETIR,protection=UNKNOWN,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\11. NOVEMBER\2025-11-30 PHT BOGOR BARU - SALAK BARU PETIR\251130,084931930,+7h0,GI 150KV BOGOR BARU,CIBADAK BARU-SALAK BARU,Qualitrol LLC.cfg",PETIR,protection=UNKNOWN,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\11. NOVEMBER\2025-11-30 PHT BOGOR BARU - SALAK BARU PETIR\251130,084933090,+7h0,GI 150KV BOGOR BARU,CIBADAK BARU-SALAK BARU,Qualitrol LLC.cfg",PETIR,protection=UNKNOWN,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\12. DESEMBER\2025-12-01 PHT CIBINONG - CILEGON PETIR\251201,152203948,+7h0,GITET CIBINONG,CILEGON BARU,Qualitrol LLC.cfg",PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\12. DESEMBER\2025-12-11 PHT SEMEN JAWA - LEMBURSITU 2 PETIR\ggn 11 12 25 GI SENJA bay lbsitu 2\Monday 30 September 2024 14.44.45.001.CFG,PETIR,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),"record.time[-1] - record.time[0]) * 1000.0) if getattr(record, ""time"", None) else None
                                                                               ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^
ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2022\02. FEBRUARI\01. RECLOSE SUTT 70 KV BANJAR - PANGANDARAN #2 (03 FEBRUARI 2022) BENDA ASING\DFR Eksternal\Bay Pangandaran GI Banjar.cfg,BENDA_ASING,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2022\02. FEBRUARI\04. TRIP BAY TRAFO #1 DI GI GARUT (20 FEB 2022) BINATANG KUCING\RELE DIFFERENSIAL\DR\Saturday 19 February 2022 23.52.14.000.CFG,HEWAN,protection=TRANSFORMER_DIFF,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2022\02. FEBRUARI\08. RECLOSE SUTET 500 KV TASIKMALAYA-KESUGIHAN #1 (26 FEBRUARI 2022) PETIR\Download Rele Main A dan B Kesugihan 1\Reclose kesugihan 1 26022022 main a.CFG,PETIR,parse returned None,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2022\02. FEBRUARI\08. RECLOSE SUTET 500 KV TASIKMALAYA-KESUGIHAN #1 (26 FEBRUARI 2022) PETIR\Download Rele Main A dan B Kesugihan 1\Reclose kesugihan 1 26022022 main b.CFG,PETIR,parse returned None,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2022\03. MARET\01. RECLOSE & TRIP SUTT 70 KV ARJAWINANGUN-KADIPATEN #1-2  (05 MARET 2022) PETIR\20220305_155154_231_r001_20220305T155559_KDPTN_AWN1_Distance.cfg,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2023\01. JANUARI\04. RECLOSE SUTET 500 KV MDRCN-CEP 2 (17 JAN 2023) PETIR\DFR INTERNAL GITET MDRCN\MAIN 2\Tuesday 17 January 2023 11.33.23.000.CFG,PETIR,protection=TRANSFORMER_DIFF,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2023\01. JANUARI\04. RECLOSE SUTET 500 KV MDRCN-CEP 2 (17 JAN 2023) PETIR\DFR INTERNAL GITET MDRCN\MAIN 2\Tuesday 17 January 2023 11.46.15.000.CFG,PETIR,no fault detected,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2023\01. JANUARI\22012023 KSBRU1 GI PLTU INDRAMAYU PETIR\DFR EKSTERNAL\ZQ22.cfg,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2023\02. FEBRUARI\1. RECLOSE SUTT 70 KV BANJAR - PANGANDARAN #2 (17-02-2023) BENDA ASING\DFR Eksternal GI Banjar\Rek 1 DFR Banjar.cfg,BENDA_ASING,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2023\02. FEBRUARI\1. RECLOSE SUTT 70 KV BANJAR - PANGANDARAN #2 (17-02-2023) BENDA ASING\DFR Eksternal GI Banjar\Rek 3 DFR Banjar.cfg,BENDA_ASING,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2023\02. FEBRUARI\1. RECLOSE SUTT 70 KV BANJAR - PANGANDARAN #2 (17-02-2023) BENDA ASING\DFR Eksternal GI Banjar\Rek 4 DFR Banjar.cfg,BENDA_ASING,no fault detected,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2023\02. FEBRUARI\3. RECLOSE SRAGI-ARJWN 1,2 (27 FEB 2023) KONDUKTOR\GI ARJWN\PHT 1\Monday 27 February 2023 14.38.33.001.CFG",KONDUKTOR,no fault detected,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2023\03. MARET\01. RECLOSE MDRCN- PMLG 3 (4 MAR 2023) PETIR\Main 2\Pemalang 3\1\DR\Saturday 04 March 2023 16.43.34.000.CFG,PETIR,protection=TRANSFORMER_DIFF,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2023\03. MARET\02. DMYU_DLTMS#1 (25 MAR 2023) PETIR\DFR Eksternal\230325,081839806,+7h0,GITET 500KV INDRAMAYU,DELTAMAS 1-2,Qualitrol LLC.cfg",PETIR,protection=UNKNOWN,
"C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2023\03. MARET\02. DMYU_DLTMS#1 (25 MAR 2023) PETIR\DFR Eksternal\230325,081840850,+7h0,GITET 500KV INDRAMAYU,DELTAMAS 1-2,Qualitrol LLC.cfg",PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2023\03. MARET\04. RECLOSE DAN TRIP SUTT 150 KV JTBRG HRGLS (30 MAR 2023) PETIR\DISTANCE RELAY GI HRGLS BAY JTBRG\Friday 31 March 2023 00.54.05.000.CFG,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2023\03. MARET\04. RECLOSE DAN TRIP SUTT 150 KV JTBRG HRGLS (30 MAR 2023) PETIR\DISTANCE RELAY GI JATIBARG BAY HRGLS\Friday 31 March 2023 00.32.29.000.CFG,PETIR,no fault detected,
